x,y,z,U_x,U_y,U_z
0.0003125,0.199688,0.005,0.297937,0.145469,0
0.0009375,0.199688,0.005,0.392443,0.126787,0
0.0015625,0.199688,0.005,0.551758,0.0758442,0
0.0021875,0.199688,0.005,0.668183,0.0439249,0
0.0028125,0.199688,0.005,0.738286,0.0261459,0
0.0034375,0.199688,0.005,0.783486,0.0161668,0
0.0040625,0.199688,0.005,0.815005,0.0105146,0
0.0046875,0.199688,0.005,0.837979,0.00724214,0
0.0053125,0.199688,0.005,0.85536,0.00526571,0
0.0059375,0.199688,0.005,0.868974,0.00400773,0
0.0065625,0.199688,0.005,0.879947,0.00316383,0
0.0071875,0.199688,0.005,0.888994,0.00257026,0
0.0078125,0.199688,0.005,0.8965919999999999,0.00213569,0
0.008437500000000001,0.199688,0.005,0.903071,0.00180693,0
0.009062499999999999,0.199688,0.005,0.908668,0.0015516,0
0.0096875,0.199688,0.005,0.913556,0.00134902,0
0.0103125,0.199688,0.005,0.917867,0.00118546,0
0.0109375,0.199688,0.005,0.921701,0.00105144,0
0.0115625,0.199688,0.005,0.925138,0.000940214,0
0.0121875,0.199688,0.005,0.928238,0.000846891,0
0.0128125,0.199688,0.005,0.931052,0.000767815,0
0.0134375,0.199688,0.005,0.933621,0.000700222,0
0.0140625,0.199688,0.005,0.935978,0.000641985,0
0.0146875,0.199688,0.005,0.93815,0.000591445,0
0.0153125,0.199688,0.005,0.940161,0.0005472950000000001,0
0.0159375,0.199688,0.005,0.94203,0.0005084930000000001,0
0.0165625,0.199688,0.005,0.9437720000000001,0.000474198,0
0.0171875,0.199688,0.005,0.945403,0.000443728,0
0.0178125,0.199688,0.005,0.946933,0.000416526,0
0.0184375,0.199688,0.005,0.948373,0.000392131,0
0.0190625,0.199688,0.005,0.949733,0.000370159,0
0.0196875,0.199688,0.005,0.9510189999999999,0.00035029,0
0.0203125,0.199688,0.005,0.952238,0.000332256,0
0.0209375,0.199688,0.005,0.953397,0.000315828,0
0.0215625,0.199688,0.005,0.9545,0.000300812,0
0.0221875,0.199688,0.005,0.955553,0.000287043,0
0.0228125,0.199688,0.005,0.956558,0.000274378,0
0.0234375,0.199688,0.005,0.957521,0.000262694,0
0.0240625,0.199688,0.005,0.958444,0.000251884,0
0.0246875,0.199688,0.005,0.95933,0.000241855,0
0.0253125,0.199688,0.005,0.960181,0.000232527,0
0.0259375,0.199688,0.005,0.961,0.000223827,0
0.0265625,0.199688,0.005,0.96179,0.000215692,0
0.0271875,0.199688,0.005,0.962551,0.000208068,0
0.0278125,0.199688,0.005,0.963286,0.000200904,0
0.0284375,0.199688,0.005,0.963996,0.000194156,0
0.0290625,0.199688,0.005,0.964683,0.000187786,0
0.0296875,0.199688,0.005,0.965348,0.000181756,0
0.0303125,0.199688,0.005,0.965992,0.000176036,0
0.0309375,0.199688,0.005,0.966616,0.000170597,0
0.0315625,0.199688,0.005,0.967222,0.000165412,0
0.0321875,0.199688,0.005,0.967809,0.000160458,0
0.0328125,0.199688,0.005,0.968379,0.000155713,0
0.0334375,0.199688,0.005,0.968933,0.000151156,0
0.0340625,0.199688,0.005,0.969471,0.00014677,0
0.0346875,0.199688,0.005,0.969993,0.000142538,0
0.0353125,0.199688,0.005,0.9705009999999999,0.000138443,0
0.0359375,0.199688,0.005,0.9709950000000001,0.000134472,0
0.0365625,0.199688,0.005,0.971475,0.000130611,0
0.0371875,0.199688,0.005,0.9719410000000001,0.000126848,0
0.0378125,0.199688,0.005,0.972395,0.000123171,0
0.0384375,0.199688,0.005,0.972836,0.000119569,0
0.0390625,0.199688,0.005,0.973264,0.000116031,0
0.0396875,0.199688,0.005,0.97368,0.000112548,0
0.0403125,0.199688,0.005,0.9740839999999999,0.00010911,0
0.0409375,0.199688,0.005,0.974476,0.00010571,0
0.0415625,0.199688,0.005,0.974857,0.000102338,0
0.0421875,0.199688,0.005,0.975225,9.89871e-05,0
0.0428125,0.199688,0.005,0.975583,9.56499e-05,0
0.0434375,0.199688,0.005,0.975929,9.23191e-05,0
0.0440625,0.199688,0.005,0.976263,8.8988e-05,0
0.0446875,0.199688,0.005,0.976586,8.56502e-05,0
0.0453125,0.199688,0.005,0.976898,8.22997e-05,0
0.0459375,0.199688,0.005,0.977198,7.89303e-05,0
0.0465625,0.199688,0.005,0.977487,7.55365e-05,0
0.0471875,0.199688,0.005,0.977764,7.21129e-05,0
0.0478125,0.199688,0.005,0.97803,6.86542e-05,0
0.0484375,0.199688,0.005,0.978283,6.51555e-05,0
0.0490625,0.199688,0.005,0.978525,6.16119e-05,0
0.0496875,0.199688,0.005,0.978755,5.80188e-05,0
0.0503125,0.199688,0.005,0.978973,5.43716e-05,0
0.0509375,0.199688,0.005,0.979178,5.06662e-05,0
0.0515625,0.199688,0.005,0.979371,4.68984e-05,0
0.0521875,0.199688,0.005,0.9795509999999999,4.30641e-05,0
0.0528125,0.199688,0.005,0.979718,3.91593e-05,0
0.0534375,0.199688,0.005,0.979871,3.51805e-05,0
0.0540625,0.199688,0.005,0.980012,3.11237e-05,0
0.0546875,0.199688,0.005,0.980138,2.69855e-05,0
0.0553125,0.199688,0.005,0.980251,2.27624e-05,0
0.0559375,0.199688,0.005,0.9803500000000001,1.84509e-05,0
0.0565625,0.199688,0.005,0.980433,1.40477e-05,0
0.0571875,0.199688,0.005,0.980503,9.54934e-06,0
0.0578125,0.199688,0.005,0.980556,4.9527e-06,0
0.0584375,0.199688,0.005,0.980595,2.54462e-07,0
0.0590625,0.199688,0.005,0.980617,-4.54847e-06,0
0.0596875,0.199688,0.005,0.9806240000000001,-9.4589e-06,0
0.0603125,0.199688,0.005,0.980613,-1.44829e-05,0
0.0609375,0.199688,0.005,0.980586,-1.96221e-05,0
0.0615625,0.199688,0.005,0.980542,-2.48801e-05,0
0.0621875,0.199688,0.005,0.980479,-3.02609e-05,0
0.06281249999999999,0.199688,0.005,0.980399,-3.57687e-05,0
0.06343749999999999,0.199688,0.005,0.9802999999999999,-4.14081e-05,0
0.06406249999999999,0.199688,0.005,0.980182,-4.71838e-05,0
0.0646875,0.199688,0.005,0.980044,-5.31009e-05,0
0.0653125,0.199688,0.005,0.979886,-5.91654e-05,0
0.0659375,0.199688,0.005,0.979708,-6.538339999999999e-05,0
0.0665625,0.199688,0.005,0.979509,-7.17622e-05,0
0.0671875,0.199688,0.005,0.979288,-7.83096e-05,0
0.0678125,0.199688,0.005,0.979044,-8.50346e-05,0
0.0684375,0.199688,0.005,0.978778,-9.19473e-05,0
0.0690625,0.199688,0.005,0.9784890000000001,-9.90593e-05,0
0.0696875,0.199688,0.005,0.978175,-0.000106384,0
0.0703125,0.199688,0.005,0.977837,-0.000113935,0
0.0709375,0.199688,0.005,0.977472,-0.000121731,0
0.0715625,0.199688,0.005,0.977081,-0.000129791,0
0.0721875,0.199688,0.005,0.9766629999999999,-0.000138137,0
0.0728125,0.199688,0.005,0.976216,-0.000146796,0
0.0734375,0.199688,0.005,0.975739,-0.000155798,0
0.0740625,0.199688,0.005,0.975232,-0.000165177,0
0.0746875,0.199688,0.005,0.974693,-0.000174973,0
0.0753125,0.199688,0.005,0.97412,-0.000185234,0
0.0759375,0.199688,0.005,0.973512,-0.000196012,0
0.07656250000000001,0.199688,0.005,0.972867,-0.000207373,0
0.07718750000000001,0.199688,0.005,0.972183,-0.000219388,0
0.07781250000000001,0.199688,0.005,0.971458,-0.000232146,0
0.07843749999999999,0.199688,0.005,0.970689,-0.000245746,0
0.07906249999999999,0.199688,0.005,0.969873,-0.00026031,0
0.07968749999999999,0.199688,0.005,0.969007,-0.000275978,0
0.0803125,0.199688,0.005,0.968087,-0.000292919,0
0.0809375,0.199688,0.005,0.967109,-0.000311333,0
0.0815625,0.199688,0.005,0.966067,-0.000331459,0
0.0821875,0.199688,0.005,0.964955,-0.000353585,0
0.0828125,0.199688,0.005,0.963768,-0.00037806,0
0.0834375,0.199688,0.005,0.962495,-0.000405306,0
0.0840625,0.199688,0.005,0.961128,-0.00043584,0
0.0846875,0.199688,0.005,0.959656,-0.000470298,0
0.0853125,0.199688,0.005,0.958064,-0.000509466,0
0.0859375,0.199688,0.005,0.956335,-0.000554328,0
0.0865625,0.199688,0.005,0.954451,-0.000606121,0
0.0871875,0.199688,0.005,0.952387,-0.000666416,0
0.0878125,0.199688,0.005,0.950112,-0.0007372290000000001,0
0.0884375,0.199688,0.005,0.947591,-0.000821177,0
0.0890625,0.199688,0.005,0.944777,-0.000921703,0
0.0896875,0.199688,0.005,0.941612,-0.0010434,0
0.0903125,0.199688,0.005,0.938022,-0.00119251,0
0.0909375,0.199688,0.005,0.933913,-0.00137768,0
0.0915625,0.199688,0.005,0.929159,-0.00161116,0
0.09218750000000001,0.199688,0.005,0.9235950000000001,-0.00191087,0
0.09281250000000001,0.199688,0.005,0.916994,-0.00230392,0
0.09343750000000001,0.199688,0.005,0.909043,-0.00283329,0
0.09406249999999999,0.199688,0.005,0.89929,-0.00357073,0
0.09468749999999999,0.199688,0.005,0.887061,-0.00464391,0
0.09531249999999999,0.199688,0.005,0.8713,-0.00629509,0
0.0959375,0.199688,0.005,0.850257,-0.00901067,0
0.0965625,0.199688,0.005,0.820935,-0.0137976,0
0.0971875,0.199688,0.005,0.777958,-0.0227306,0
0.0978125,0.199688,0.005,0.7095860000000001,-0.0399616,0
0.0984375,0.199688,0.005,0.590906,-0.0731662,0
0.0990625,0.199688,0.005,0.418824,-0.128375,0
0.0996875,0.199688,0.005,0.30956,-0.149792,0
